#
# plants.csv - default plant matrix for Botany plugin
#
# format: 5 fields separated by "," - no spaces allowed
# - 1: Biome name
# - 2: Material:Data byte for the thing to be planted
# - 3: Material for the block to be planted ontop of
# - 4: Material:Data byte for the thing to scan for
# - 5: double value for plant density
#
# byte values are required for fields 2 and 4. byte values
# are not allowed in field 3.
#
# empty lines and lines with a # in any location are skipped

# this next line help to determine if this file may be out of date - it will notify
# you on the console if this file needs upgrading. If you have custom modifications
# and/or do not want to be notified, just delete this line.
VERSION,2,,,

DESERT,DEAD_BUSH:0,SAND,DEAD_BUSH:0,0.05000
DESERT,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.35000
DESERT,BROWN_MUSHROOM:0,DIRT,BROWN_MUSHROOM:0,0.05000
DESERT,RED_MUSHROOM:0,DIRT,RED_MUSHROOM:0,0.05000
DESERT,BROWN_MUSHROOM:0,HAY_BLOCK,BROWN_MUSHROOM:0,0.05000
DESERT,RED_MUSHROOM:0,HAY_BLOCK,RED_MUSHROOM:0,0.05000
DESERT,BROWN_MUSHROOM:0,MELON_BLOCK,BROWN_MUSHROOM:0,0.05000
DESERT,RED_MUSHROOM:0,MELON_BLOCK,RED_MUSHROOM:0,0.05000
DESERT,BROWN_MUSHROOM:0,PUMPKIN,BROWN_MUSHROOM:0,0.05000
DESERT,RED_MUSHROOM:0,PUMPKIN,RED_MUSHROOM:0,0.05000
#DESERT,BROWN_MUSHROOM:0,WOOD,BROWN_MUSHROOM:0,0.05000
#DESERT,RED_MUSHROOM:0,LOG,RED_MUSHROOM:0,0.05000
#DESERT,BROWN_MUSHROOM:0,LOG,BROWN_MUSHROOM:0,0.05000
#DESERT,RED_MUSHROOM:0,WOOD,RED_MUSHROOM:0,0.05000
DESERT,CROPS:0,SOIL,CROPS:0,0.50000
DESERT,CROPS:0,SOIL,CROPS:1,0.50000
DESERT,CROPS:0,SOIL,CROPS:2,0.50000
DESERT,CROPS:0,SOIL,CROPS:3,0.50000
DESERT,CROPS:0,SOIL,CROPS:4,0.50000
DESERT,CROPS:0,SOIL,CROPS:5,0.50000
DESERT,CROPS:0,SOIL,CROPS:6,0.50000
DESERT,CROPS:0,SOIL,CROPS:7,0.50000
DESERT,WATER_LILY:0,WATER,WATER_LILY:0,0.35000
DESERT,WATER_LILY:0,WATER,LONG_GRASS:2,0.10000
DESERT,CARROT:0,SOIL,CARROT:0,0.50000
DESERT,CARROT:0,SOIL,CARROT:1,0.50000
DESERT,CARROT:0,SOIL,CARROT:2,0.50000
DESERT,CARROT:0,SOIL,CARROT:3,0.50000
DESERT,CARROT:0,SOIL,CARROT:4,0.50000
DESERT,CARROT:0,SOIL,CARROT:5,0.50000
DESERT,CARROT:0,SOIL,CARROT:6,0.50000
DESERT,CARROT:0,SOIL,CARROT:7,0.50000
DESERT,POTATO:0,SOIL,POTATO:0,0.50000
DESERT,POTATO:0,SOIL,POTATO:1,0.50000
DESERT,POTATO:0,SOIL,POTATO:2,0.50000
DESERT,POTATO:0,SOIL,POTATO:3,0.50000
DESERT,POTATO:0,SOIL,POTATO:4,0.50000
DESERT,POTATO:0,SOIL,POTATO:5,0.50000
DESERT,POTATO:0,SOIL,POTATO:6,0.50000
DESERT,POTATO:0,SOIL,POTATO:7,0.50000

ICE_ICE_PLAINS,DEAD_BUSH:0,SAND,DEAD_BUSH:0,0.01000
ICE_ICE_PLAINS,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.01000
#ICE_PLAINS,CROPS:0,SOIL,CROPS:0,0.50000
#ICE_PLAINS,CROPS:0,SOIL,CROPS:1,0.50000
#ICE_PLAINS,CROPS:0,SOIL,CROPS:2,0.50000
#ICE_PLAINS,CROPS:0,SOIL,CROPS:3,0.50000
#ICE_PLAINS,CROPS:0,SOIL,CROPS:4,0.50000
#ICE_PLAINS,CROPS:0,SOIL,CROPS:5,0.50000
#ICE_PLAINS,CROPS:0,SOIL,CROPS:6,0.50000
#ICE_PLAINS,CROPS:0,SOIL,CROPS:7,0.50000
ICE_PLAINS,WATER_LILY:0,WATER,WATER_LILY:0,0.35000
ICE_PLAINS,WATER_LILY:0,WATER,LONG_GRASS:2,0.10000

JUNGLE,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.95000
JUNGLE,LONG_GRASS:2,GRASS,LONG_GRASS:2,0.40000
JUNGLE,CARROT:0,SOIL,CARROT:0,0.50000
JUNGLE,CARROT:0,SOIL,CARROT:1,0.50000
JUNGLE,CARROT:0,SOIL,CARROT:2,0.50000
JUNGLE,CARROT:0,SOIL,CARROT:3,0.50000
JUNGLE,CARROT:0,SOIL,CARROT:4,0.50000
JUNGLE,CARROT:0,SOIL,CARROT:5,0.50000
JUNGLE,CARROT:0,SOIL,CARROT:6,0.50000
JUNGLE,CARROT:0,SOIL,CARROT:7,0.50000
JUNGLE,POTATO:0,SOIL,POTATO:0,0.50000
JUNGLE,POTATO:0,SOIL,POTATO:1,0.50000
JUNGLE,POTATO:0,SOIL,POTATO:2,0.50000
JUNGLE,POTATO:0,SOIL,POTATO:3,0.50000
